city,timezone,date,sunrise,sunset
Amsterdam,Europe/Amsterdam,2020-01-01,2020-01-01T08:50:00+01:00,2020-01-01T16:37:00+01:00
Amsterdam,Europe/Amsterdam,2020-01-02,2020-01-02T08:50:00+01:00,2020-01-02T16:38:00+01:00
Amsterdam,Europe/Amsterdam,2020-01-03,2020-01-03T08:50:00+01:00,2020-01-03T16:39:00+01:00
Amsterdam,Europe/Amsterdam,2020-01-04,2020-01-04T08:50:00+01:00,2020-01-04T16:41:00+01:00
Amsterdam,Europe/Amsterdam,2020-01-05,2020-01-05T08:49:00+01:00,2020-01-05T16:42:00+01:00
Amsterdam,Europe/Amsterdam,2020-01-06,2020-01-06T08:49:00+01:00,2020-01-06T16:43:00+01:00
Amsterdam,Europe/Amsterdam,2020-01-07,2020-01-07T08:48:00+01:00,2020-01-07T16:44:00+01:00
Amsterdam,Europe/Amsterdam,2020-01-08,2020-01-08T08:48:00+01:00,2020-01-08T16:46:00+01:00
Amsterdam,Europe/Amsterdam,2020-01-09,2020-01-09T08:47:00+01:00,2020-01-09T16:47:00+01:00
Amsterdam,Europe/Amsterdam,2020-01-10,2020-01-10T08:47:00+01:00,2020-01-10T16:49:00+01:00
Amsterdam,Europe/Amsterdam,2020-01-11,2020-01-11T08:46:00+01:00,2020-01-11T16:50:00+01:00
Amsterdam,Europe/Amsterdam,2020-01-12,2020-01-12T08:46:00+01:00,2020-01-12T16:51:00+01:00
Amsterdam,Europe/Amsterdam,2020-01-13,2020-01-13T08:45:00+01:00,2020-01-13T16:53:00+01:00
Amsterdam,Europe/Amsterdam,2020-01-14,2020-01-14T08:44:00+01:00,2020-01-14T16:55:00+01:00
Amsterdam,Europe/Amsterdam,2020-01-15,2020-01-15T08:43:00+01:00,2020-01-15T16:56:00+01:00
Amsterdam,Europe/Amsterdam,2020-01-16,2020-01-16T08:42:00+01:00,2020-01-16T16:58:00+01:00
Amsterdam,Europe/Amsterdam,2020-01-17,2020-01-17T08:41:00+01:00,2020-01-17T16:59:00+01:00
Amsterdam,Europe/Amsterdam,2020-01-18,2020-01-18T08:40:00+01:00,2020-01-18T17:01:00+01:00
Amsterdam,Europe/Amsterdam,2020-01-19,2020-01-19T08:39:00+01:00,2020-01-19T17:03:00+01:00
Amsterdam,Europe/Amsterdam,2020-01-20,2020-01-20T08:38:00+01:00,2020-01-20T17:04:00+01:00
Amsterdam,Europe/Amsterdam,2020-01-21,2020-01-21T08:37:00+01:00,2020-01-21T17:06:00+01:00
Amsterdam,Europe/Amsterdam,2020-01-22,2020-01-22T08:36:00+01:00,2020-01-22T17:08:00+01:00
Amsterdam,Europe/Amsterdam,2020-01-23,2020-01-23T08:35:00+01:00,2020-01-23T17:10:00+01:00
Amsterdam,Europe/Amsterdam,2020-01-24,2020-01-24T08:33:00+01:00,2020-01-24T17:11:00+01:00
Amsterdam,Europe/Amsterdam,2020-01-25,2020-01-25T08:32:00+01:00,2020-01-25T17:13:00+01:00
Amsterdam,Europe/Amsterdam,2020-01-26,2020-01-26T08:31:00+01:00,2020-01-26T17:15:00+01:00
Amsterdam,Europe/Amsterdam,2020-01-27,2020-01-27T08:29:00+01:00,2020-01-27T17:17:00+01:00
Amsterdam,Europe/Amsterdam,2020-01-28,2020-01-28T08:28:00+01:00,2020-01-28T17:19:00+01:00
Amsterdam,Europe/Amsterdam,2020-01-29,2020-01-29T08:27:00+01:00,2020-01-29T17:21:00+01:00
Amsterdam,Europe/Amsterdam,2020-01-30,2020-01-30T08:25:00+01:00,2020-01-30T17:22:00+01:00
Amsterdam,Europe/Amsterdam,2020-01-31,2020-01-31T08:23:00+01:00,2020-01-31T17:24:00+01:00
Amsterdam,Europe/Amsterdam,2020-02-01,2020-02-01T08:22:00+01:00,2020-02-01T17:26:00+01:00
Amsterdam,Europe/Amsterdam,2020-02-02,2020-02-02T08:20:00+01:00,2020-02-02T17:28:00+01:00
Amsterdam,Europe/Amsterdam,2020-02-03,2020-02-03T08:19:00+01:00,2020-02-03T17:30:00+01:00
Amsterdam,Europe/Amsterdam,2020-02-04,2020-02-04T08:17:00+01:00,2020-02-04T17:32:00+01:00
Amsterdam,Europe/Amsterdam,2020-02-05,2020-02-05T08:15:00+01:00,2020-02-05T17:34:00+01:00
Amsterdam,Europe/Amsterdam,2020-02-06,2020-02-06T08:14:00+01:00,2020-02-06T17:35:00+01:00
Amsterdam,Europe/Amsterdam,2020-02-07,2020-02-07T08:12:00+01:00,2020-02-07T17:37:00+01:00
Amsterdam,Europe/Amsterdam,2020-02-08,2020-02-08T08:10:00+01:00,2020-02-08T17:39:00+01:00
Amsterdam,Europe/Amsterdam,2020-02-09,2020-02-09T08:08:00+01:00,2020-02-09T17:41:00+01:00
Amsterdam,Europe/Amsterdam,2020-02-10,2020-02-10T08:06:00+01:00,2020-02-10T17:43:00+01:00
Amsterdam,Europe/Amsterdam,2020-02-11,2020-02-11T08:04:00+01:00,2020-02-11T17:45:00+01:00
Amsterdam,Europe/Amsterdam,2020-02-12,2020-02-12T08:03:00+01:00,2020-02-12T17:47:00+01:00
Amsterdam,Europe/Amsterdam,2020-02-13,2020-02-13T08:01:00+01:00,2020-02-13T17:49:00+01:00
Amsterdam,Europe/Amsterdam,2020-02-14,2020-02-14T07:59:00+01:00,2020-02-14T17:51:00+01:00
Amsterdam,Europe/Amsterdam,2020-02-15,2020-02-15T07:57:00+01:00,2020-02-15T17:53:00+01:00
Amsterdam,Europe/Amsterdam,2020-02-16,2020-02-16T07:55:00+01:00,2020-02-16T17:54:00+01:00
Amsterdam,Europe/Amsterdam,2020-02-17,2020-02-17T07:53:00+01:00,2020-02-17T17:56:00+01:00
Amsterdam,Europe/Amsterdam,2020-02-18,2020-02-18T07:51:00+01:00,2020-02-18T17:58:00+01:00
Amsterdam,Europe/Amsterdam,2020-02-19,2020-02-19T07:49:00+01:00,2020-02-19T18:00:00+01:00
Amsterdam,Europe/Amsterdam,2020-02-20,2020-02-20T07:47:00+01:00,2020-02-20T18:02:00+01:00
Amsterdam,Europe/Amsterdam,2020-02-21,2020-02-21T07:45:00+01:00,2020-02-21T18:04:00+01:00
Amsterdam,Europe/Amsterdam,2020-02-22,2020-02-22T07:42:00+01:00,2020-02-22T18:06:00+01:00
Amsterdam,Europe/Amsterdam,2020-02-23,2020-02-23T07:40:00+01:00,2020-02-23T18:07:00+01:00
Amsterdam,Europe/Amsterdam,2020-02-24,2020-02-24T07:38:00+01:00,2020-02-24T18:09:00+01:00
Amsterdam,Europe/Amsterdam,2020-02-25,2020-02-25T07:36:00+01:00,2020-02-25T18:11:00+01:00
Amsterdam,Europe/Amsterdam,2020-02-26,2020-02-26T07:34:00+01:00,2020-02-26T18:13:00+01:00
Amsterdam,Europe/Amsterdam,2020-02-27,2020-02-27T07:32:00+01:00,2020-02-27T18:15:00+01:00
Amsterdam,Europe/Amsterdam,2020-02-28,2020-02-28T07:29:00+01:00,2020-02-28T18:17:00+01:00
Amsterdam,Europe/Amsterdam,2020-02-29,2020-02-29T07:27:00+01:00,2020-02-29T18:19:00+01:00
Amsterdam,Europe/Amsterdam,2020-03-01,2020-03-01T07:25:00+01:00,2020-03-01T18:20:00+01:00
Amsterdam,Europe/Amsterdam,2020-03-02,2020-03-02T07:23:00+01:00,2020-03-02T18:22:00+01:00
Amsterdam,Europe/Amsterdam,2020-03-03,2020-03-03T07:21:00+01:00,2020-03-03T18:24:00+01:00
Amsterdam,Europe/Amsterdam,2020-03-04,2020-03-04T07:18:00+01:00,2020-03-04T18:26:00+01:00
Amsterdam,Europe/Amsterdam,2020-03-05,2020-03-05T07:16:00+01:00,2020-03-05T18:28:00+01:00
Amsterdam,Europe/Amsterdam,2020-03-06,2020-03-06T07:14:00+01:00,2020-03-06T18:29:00+01:00
Amsterdam,Europe/Amsterdam,2020-03-07,2020-03-07T07:11:00+01:00,2020-03-07T18:31:00+01:00
Amsterdam,Europe/Amsterdam,2020-03-08,2020-03-08T07:09:00+01:00,2020-03-08T18:33:00+01:00
