city,timezone,date,sunrise,sunset
Amsterdam,Europe/Amsterdam,2021-01-01,08:50,16:37
Amsterdam,Europe/Amsterdam,2021-01-02,08:50,16:38
Amsterdam,Europe/Amsterdam,2021-01-03,08:50,16:39
Amsterdam,Europe/Amsterdam,2021-01-04,08:50,16:41
Amsterdam,Europe/Amsterdam,2021-01-05,08:49,16:42
Amsterdam,Europe/Amsterdam,2021-01-06,08:49,16:43
Amsterdam,Europe/Amsterdam,2021-01-07,08:48,16:44
Amsterdam,Europe/Amsterdam,2021-01-08,08:48,16:46
Amsterdam,Europe/Amsterdam,2021-01-09,08:47,16:47
Amsterdam,Europe/Amsterdam,2021-01-10,08:47,16:49
Amsterdam,Europe/Amsterdam,2021-01-11,08:46,16:50
Amsterdam,Europe/Amsterdam,2021-01-12,08:46,16:51
Amsterdam,Europe/Amsterdam,2021-01-13,08:45,16:53
Amsterdam,Europe/Amsterdam,2021-01-14,08:44,16:55
Amsterdam,Europe/Amsterdam,2021-01-15,08:43,16:56
Amsterdam,Europe/Amsterdam,2021-01-16,08:42,16:58
Amsterdam,Europe/Amsterdam,2021-01-17,08:41,16:59
Amsterdam,Europe/Amsterdam,2021-01-18,08:40,17:01
Amsterdam,Europe/Amsterdam,2021-01-19,08:39,17:03
Amsterdam,Europe/Amsterdam,2021-01-20,08:38,17:04
Amsterdam,Europe/Amsterdam,2021-01-21,08:37,17:06
Amsterdam,Europe/Amsterdam,2021-01-22,08:36,17:08
Amsterdam,Europe/Amsterdam,2021-01-23,08:35,17:10
Amsterdam,Europe/Amsterdam,2021-01-24,08:33,17:11
Amsterdam,Europe/Amsterdam,2021-01-25,08:32,17:13
Amsterdam,Europe/Amsterdam,2021-01-26,08:31,17:15
Amsterdam,Europe/Amsterdam,2021-01-27,08:29,17:17
Amsterdam,Europe/Amsterdam,2021-01-28,08:28,17:19
Amsterdam,Europe/Amsterdam,2021-01-29,08:27,17:21
Amsterdam,Europe/Amsterdam,2021-01-30,08:25,17:22
Amsterdam,Europe/Amsterdam,2021-01-31,08:23,17:24
Amsterdam,Europe/Amsterdam,2021-02-01,08:22,17:26
Amsterdam,Europe/Amsterdam,2021-02-02,08:20,17:28
Amsterdam,Europe/Amsterdam,2021-02-03,08:19,17:30
Amsterdam,Europe/Amsterdam,2021-02-04,08:17,17:32
Amsterdam,Europe/Amsterdam,2021-02-05,08:15,17:34
Amsterdam,Europe/Amsterdam,2021-02-06,08:14,17:35
Amsterdam,Europe/Amsterdam,2021-02-07,08:12,17:37
Amsterdam,Europe/Amsterdam,2021-02-08,08:10,17:39
Amsterdam,Europe/Amsterdam,2021-02-09,08:08,17:41
Amsterdam,Europe/Amsterdam,2021-02-10,08:06,17:43
